event_id,case_id,event_dttm,channel,contact_result
5989,2248,2026-04-08 18:46:00,sms,Promise
5128,1925,2026-03-09 15:14:00,email,Promise
4351,1641,2026-01-14 15:57:00,call,No answer
264,99,2026-03-21 16:18:00,call,Promise
3720,1412,2026-01-21 20:41:00,call,No answer
2980,1119,2026-02-03 09:42:00,sms,RPC
3680,1397,2026-03-16 20:48:00,call,RPC
5300,1984,2026-03-30 09:22:00,call,No answer
4716,1776,2026-03-30 19:02:00,sms,Promise
178,66,2026-03-24 11:07:00,sms,No answer
4235,1598,2026-01-30 13:07:00,call,RPC
6376,2385,2026-02-01 16:00:00,call,No answer
5500,2056,2026-01-08 10:55:00,sms,RPC
608,236,2026-04-09 17:51:00,call,No answer
5704,2131,2026-02-01 18:07:00,sms,Wrong number
2862,1079,2026-03-10 16:39:00,sms,Wrong number
916,354,2026-03-04 12:50:00,sms,No answer
1495,574,2026-01-19 09:50:00,call,Promise
2317,883,2026-02-22 10:19:00,sms,No answer
4909,1856,2026-02-26 11:12:00,call,No answer
5594,2092,2026-02-03 15:26:00,sms,No answer
2232,843,2026-02-20 08:28:00,sms,Promise
632,249,2026-03-15 14:54:00,call,No answer
6790,2531,2026-01-14 10:49:00,call,No answer
231,89,2026-02-22 11:04:00,call,RPC
2006,761,2026-01-26 19:37:00,call,No answer
6506,2429,2026-02-04 10:40:00,call,RPC
5477,2048,2026-02-14 10:03:00,sms,No answer
926,359,2026-02-24 11:25:00,call,No answer
2944,1110,2026-03-27 10:40:00,call,RPC
5321,1994,2026-01-10 13:03:00,call,No answer
99,39,2026-02-03 19:44:00,email,Promise
6823,2544,2026-03-01 13:16:00,call,RPC
6210,2322,2026-04-13 15:06:00,sms,No answer
4553,1718,2026-02-17 12:15:00,call,No answer
5584,2089,2026-02-21 10:52:00,sms,RPC
4114,1557,2026-04-10 17:40:00,call,Wrong number
483,182,2026-03-24 17:49:00,call,RPC
6662,2483,2026-04-12 14:45:00,call,RPC
4998,1883,2026-03-15 13:13:00,sms,RPC
4442,1680,2026-01-24 20:22:00,call,No answer
6006,2254,2026-03-22 19:52:00,call,No answer
38,17,2026-04-01 18:56:00,sms,RPC
1426,552,2026-02-20 08:18:00,sms,No answer
509,191,2026-03-23 19:26:00,call,Wrong number
6861,2558,2026-04-13 12:19:00,call,No answer
3588,1363,2026-03-17 19:13:00,call,No answer
2017,765,2026-02-10 11:34:00,sms,No answer
115,43,2026-03-07 17:22:00,call,Wrong number
237,93,2026-02-11 21:42:00,call,RPC
1725,652,2026-01-17 12:01:00,call,RPC
4308,1625,2026-01-25 19:33:00,call,RPC
915,353,2026-04-10 18:42:00,call,Wrong number
3564,1350,2026-03-31 20:52:00,sms,No answer
5669,2117,2026-04-02 16:08:00,sms,No answer
1825,694,2026-03-18 13:21:00,email,No answer
3384,1285,2026-02-01 16:47:00,email,No answer
5283,1981,2026-03-26 18:06:00,sms,No answer
1220,473,2026-01-23 12:31:00,call,No answer
3504,1328,2026-02-13 17:45:00,email,Promise
735,283,2026-03-25 17:30:00,sms,RPC
1336,519,2026-03-31 09:30:00,call,No answer
3226,1216,2026-02-08 13:43:00,sms,No answer
5785,2161,2026-03-27 19:22:00,sms,Promise
5977,2239,2026-04-01 17:32:00,call,No answer
5424,2029,2026-03-14 09:12:00,email,RPC
3073,1153,2026-03-10 09:36:00,call,RPC
318,127,2026-03-28 16:24:00,call,No answer
3929,1487,2026-01-22 09:06:00,email,No answer
3359,1274,2026-02-26 13:29:00,call,Promise
2223,838,2026-01-13 14:12:00,call,No answer
5413,2028,2026-03-16 16:00:00,call,No answer
3474,1314,2026-02-09 14:26:00,call,RPC
1171,451,2026-01-09 08:09:00,email,RPC
188,72,2026-01-24 18:20:00,sms,RPC
6010,2255,2026-02-26 09:15:00,call,No answer
5093,1913,2026-02-05 10:41:00,email,Wrong number
65,28,2026-01-14 11:44:00,call,RPC
2461,931,2026-01-28 11:44:00,call,RPC
2639,1000,2026-04-04 10:05:00,call,No answer
2440,924,2026-03-22 15:03:00,sms,RPC
4798,1810,2026-03-16 12:12:00,call,No answer
1619,623,2026-01-10 08:20:00,call,RPC
3261,1227,2026-02-04 08:28:00,call,No answer
4549,1717,2026-02-05 20:05:00,email,No answer
1105,423,2026-01-31 09:02:00,call,No answer
1128,434,2026-04-04 19:16:00,sms,RPC
438,168,2026-01-16 14:44:00,sms,RPC
6276,2344,2026-04-03 11:01:00,email,No answer
442,168,2026-01-29 16:51:00,sms,No answer
2805,1061,2026-01-05 20:14:00,call,RPC
2137,808,2026-02-12 09:33:00,call,Promise
330,132,2026-02-24 13:16:00,call,No answer
1705,644,2026-02-09 18:00:00,call,Promise
6368,2383,2026-01-31 16:38:00,sms,RPC
3616,1376,2026-02-01 08:42:00,call,Promise
6682,2488,2026-02-03 18:03:00,call,Promise
3398,1291,2026-01-17 13:07:00,sms,Wrong number
4805,1811,2026-03-03 13:54:00,call,RPC
3894,1475,2026-03-30 13:13:00,call,No answer
3530,1339,2026-03-09 18:55:00,call,No answer
5370,2011,2026-04-05 20:47:00,email,No answer
4487,1697,2026-04-01 16:39:00,sms,No answer
1175,454,2026-01-28 17:17:00,sms,Wrong number
4894,1847,2026-02-10 13:03:00,call,Promise
2740,1038,2026-02-22 09:13:00,sms,RPC
1976,749,2026-03-15 20:10:00,sms,Promise
1234,477,2026-03-13 19:21:00,call,No answer
6367,2383,2026-01-29 10:00:00,call,No answer
246,95,2026-01-29 11:22:00,email,No answer
2628,997,2026-03-17 08:04:00,call,RPC
2198,831,2026-01-26 15:38:00,call,No answer
6678,2488,2026-02-14 17:53:00,call,RPC
1319,511,2026-04-01 11:42:00,sms,No answer
324,130,2026-03-19 13:15:00,sms,Promise
5165,1938,2026-01-06 18:09:00,call,No answer
4071,1539,2026-02-20 19:10:00,email,No answer
2730,1036,2026-03-07 11:03:00,email,No answer
3432,1304,2026-02-14 09:41:00,call,Wrong number
1240,480,2026-03-27 18:56:00,email,RPC
1500,577,2026-02-15 17:26:00,sms,Wrong number
3330,1262,2026-02-21 10:07:00,call,No answer
4642,1749,2026-04-03 13:54:00,call,RPC
3036,1138,2026-04-13 11:21:00,call,Promise
2350,894,2026-01-27 18:43:00,call,Promise
4103,1553,2026-01-23 18:44:00,call,RPC
660,257,2026-01-30 14:16:00,email,No answer
5947,2226,2026-03-23 15:40:00,email,Promise
6048,2270,2026-03-25 15:10:00,sms,No answer
131,50,2026-02-11 15:10:00,sms,Promise
3220,1214,2026-03-04 08:15:00,call,RPC
923,356,2026-02-15 12:36:00,call,No answer
1011,393,2026-03-16 19:39:00,call,Promise
1940,733,2026-03-11 20:42:00,call,RPC
2029,769,2026-03-26 19:54:00,call,No answer
525,196,2026-02-25 10:18:00,call,No answer
2074,785,2026-03-01 10:39:00,sms,No answer
6869,2562,2026-01-16 15:37:00,email,No answer
281,106,2026-01-26 14:37:00,email,No answer
6572,2450,2026-04-07 08:51:00,call,No answer
1386,540,2026-04-02 17:04:00,sms,Wrong number
3517,1334,2026-03-25 10:50:00,call,No answer
6892,2575,2026-01-25 14:32:00,sms,Promise
54,25,2026-03-09 16:13:00,call,RPC
3111,1170,2026-04-01 14:14:00,email,RPC
4841,1824,2026-02-26 14:05:00,sms,Promise
5931,2220,2026-03-05 16:27:00,call,RPC
5615,2096,2026-01-27 14:41:00,sms,Promise
1069,411,2026-02-22 19:19:00,call,RPC
5287,1982,2026-02-24 09:00:00,email,Promise
4478,1695,2026-02-01 11:46:00,call,RPC
1355,530,2026-04-09 17:48:00,call,No answer
2061,780,2026-04-03 18:46:00,call,Promise
2318,883,2026-03-08 11:22:00,sms,RPC
6004,2253,2026-02-22 14:10:00,email,No answer
1743,662,2026-01-28 08:01:00,sms,No answer
3976,1501,2026-03-22 08:16:00,sms,RPC
3790,1441,2026-03-16 14:52:00,call,No answer
6311,2361,2026-01-23 16:58:00,sms,Promise
1962,741,2026-02-26 14:47:00,call,No answer
3206,1207,2026-01-08 10:27:00,sms,No answer
2993,1122,2026-03-23 09:37:00,call,No answer
3257,1225,2026-01-14 09:19:00,call,No answer
3239,1222,2026-01-24 10:29:00,call,No answer
4991,1881,2026-03-13 08:38:00,call,Promise
1965,743,2026-03-27 14:04:00,call,No answer
2838,1072,2026-02-12 16:58:00,sms,No answer
4860,1832,2026-03-17 18:38:00,sms,Promise
6488,2424,2026-03-13 11:59:00,call,No answer
2107,797,2026-02-08 11:54:00,call,RPC
2302,876,2026-01-05 18:14:00,sms,No answer
4856,1830,2026-04-08 14:37:00,call,No answer
522,195,2026-03-08 11:42:00,sms,RPC
4307,1624,2026-02-06 15:59:00,call,RPC
725,280,2026-01-10 13:09:00,call,No answer
6147,2308,2026-03-14 16:18:00,email,Promise
198,77,2026-01-24 18:29:00,sms,RPC
2171,823,2026-03-02 13:55:00,call,RPC
567,215,2026-02-06 16:13:00,sms,Promise
6305,2357,2026-03-21 17:56:00,sms,Promise
3436,1305,2026-03-02 11:09:00,call,No answer
2751,1041,2026-03-04 14:24:00,call,Wrong number
3208,1208,2026-01-20 08:27:00,sms,Promise
2371,902,2026-01-09 17:59:00,sms,RPC
4695,1770,2026-02-10 11:02:00,sms,No answer
5263,1972,2026-03-17 20:42:00,call,Promise
1873,712,2026-03-24 12:03:00,call,RPC
2581,981,2026-03-10 16:12:00,call,No answer
322,128,2026-01-16 17:11:00,call,No answer
2260,853,2026-02-28 15:25:00,call,No answer
859,333,2026-04-04 10:46:00,sms,Promise
2710,1027,2026-01-13 17:36:00,call,RPC
23,12,2026-01-05 14:28:00,call,No answer
5436,2032,2026-01-29 09:35:00,sms,No answer
75,30,2026-01-31 09:47:00,sms,RPC
1520,583,2026-02-25 13:17:00,sms,Wrong number
47,22,2026-02-09 13:06:00,sms,Promise
1180,455,2026-02-17 09:07:00,sms,No answer
5824,2173,2026-01-22 13:48:00,sms,RPC
734,282,2026-01-27 16:21:00,sms,No answer
203,78,2026-03-18 11:09:00,call,No answer
3843,1457,2026-02-02 19:06:00,call,RPC
5968,2234,2026-02-20 14:01:00,call,RPC
2253,852,2026-02-21 14:52:00,call,RPC
1359,531,2026-03-25 09:37:00,call,Promise
1339,520,2026-03-31 08:31:00,call,No answer
6143,2305,2026-03-30 17:44:00,sms,RPC
1876,712,2026-04-05 18:17:00,call,No answer
3452,1309,2026-02-05 17:30:00,call,RPC
3716,1410,2026-04-08 19:50:00,sms,RPC
610,236,2026-04-06 15:50:00,call,Promise
3596,1366,2026-02-08 17:04:00,sms,Wrong number
4171,1573,2026-01-21 10:54:00,call,No answer
507,191,2026-03-25 17:25:00,call,No answer
2734,1036,2026-03-13 19:20:00,call,RPC
4046,1531,2026-03-15 17:41:00,sms,RPC
1316,509,2026-03-04 12:05:00,call,No answer
6531,2438,2026-03-11 16:29:00,call,RPC
2807,1061,2026-01-05 19:37:00,call,RPC
5353,2005,2026-03-05 08:52:00,call,Wrong number
6530,2438,2026-03-12 17:57:00,call,No answer
5237,1963,2026-02-16 11:42:00,call,No answer
1414,549,2026-01-13 12:43:00,call,Promise
6242,2332,2026-01-18 13:32:00,sms,Promise
4821,1817,2026-01-21 18:28:00,call,RPC
192,75,2026-01-03 19:37:00,sms,No answer
721,279,2026-03-22 17:24:00,sms,No answer
1060,408,2026-01-29 14:13:00,email,No answer
1783,680,2026-04-02 19:48:00,sms,No answer
5219,1954,2026-01-24 13:24:00,call,No answer
5365,2010,2026-01-08 11:09:00,call,RPC
1915,725,2026-02-02 09:58:00,sms,No answer
1219,473,2026-01-25 18:59:00,call,No answer
1468,567,2026-04-10 10:12:00,call,No answer
5585,2090,2026-04-03 19:19:00,call,No answer
6469,2420,2026-01-26 12:04:00,sms,Promise
5060,1905,2026-04-01 19:56:00,call,RPC
4400,1661,2026-03-13 14:29:00,sms,RPC
4337,1635,2026-03-06 16:01:00,call,No answer
6798,2534,2026-01-23 11:29:00,call,Promise
474,179,2026-02-14 20:51:00,sms,Promise
4463,1689,2026-03-23 17:31:00,sms,RPC
4876,1840,2026-01-25 19:49:00,email,Promise
6354,2376,2026-02-23 14:43:00,call,Promise
3298,1245,2026-04-09 10:04:00,sms,No answer
4465,1689,2026-03-27 14:33:00,email,No answer
5814,2170,2026-02-08 10:27:00,call,RPC
2239,848,2026-01-14 15:10:00,call,Promise
5002,1884,2026-04-09 13:12:00,call,RPC
3757,1427,2026-01-10 12:53:00,call,Promise
3559,1349,2026-02-28 10:34:00,call,Wrong number
1262,485,2026-04-07 20:59:00,sms,No answer
6199,2320,2026-01-12 08:50:00,sms,Promise
2420,917,2026-02-01 20:55:00,call,RPC
524,196,2026-02-12 18:09:00,call,No answer
1159,448,2026-02-21 15:38:00,call,No answer
2985,1120,2026-02-23 12:15:00,call,No answer
2224,839,2026-01-13 09:27:00,sms,No answer
4517,1707,2026-01-22 11:39:00,sms,RPC
4392,1658,2026-03-24 11:13:00,call,No answer
5588,2090,2026-03-25 20:08:00,email,No answer
648,252,2026-02-24 08:14:00,call,RPC
3872,1466,2026-02-17 18:04:00,sms,No answer
6211,2323,2026-01-28 15:35:00,email,No answer
2456,930,2026-02-16 15:35:00,call,RPC
6579,2454,2026-03-30 09:42:00,email,No answer
789,304,2026-03-31 15:02:00,sms,No answer
3521,1335,2026-01-20 15:19:00,call,No answer
1042,402,2026-02-15 10:24:00,call,Wrong number
3744,1424,2026-03-24 19:26:00,email,No answer
1647,629,2026-03-15 10:16:00,call,RPC
1590,610,2026-03-11 11:52:00,email,No answer
4405,1663,2026-02-11 12:13:00,call,Promise
2907,1097,2026-03-11 11:04:00,sms,Wrong number
3947,1493,2026-02-23 17:02:00,sms,Promise
5608,2095,2026-02-01 09:30:00,sms,RPC
6166,2311,2026-01-14 16:20:00,sms,RPC
4827,1819,2026-01-15 16:34:00,sms,RPC
5672,2118,2026-02-10 18:41:00,sms,No answer
743,285,2026-02-22 17:38:00,call,Promise
2488,940,2026-03-29 21:37:00,email,RPC
5719,2136,2026-02-05 13:05:00,sms,Wrong number
5661,2114,2026-02-20 16:37:00,sms,No answer
73,30,2026-02-05 09:08:00,call,RPC
6223,2325,2026-02-09 17:14:00,email,Promise
1028,399,2026-01-20 18:17:00,sms,No answer
6814,2539,2026-03-04 12:05:00,email,No answer
2345,892,2026-03-15 17:34:00,sms,No answer
1059,408,2026-02-02 19:45:00,email,Promise
2390,908,2026-02-18 20:00:00,email,No answer
3530,1339,2026-03-09 19:25:00,call,No answer
1170,451,2026-01-07 20:14:00,call,No answer
964,374,2026-01-18 11:48:00,sms,Promise
412,157,2026-02-25 09:10:00,sms,No answer
2957,1114,2026-02-12 20:32:00,call,Promise
287,110,2026-02-02 10:22:00,call,Promise
5444,2035,2026-02-01 11:27:00,sms,Wrong number
2513,953,2026-03-31 17:10:00,sms,No answer
5559,2077,2026-02-08 08:41:00,call,Wrong number
4018,1521,2026-02-14 19:22:00,call,No answer
1788,680,2026-04-06 20:39:00,call,No answer
1044,402,2026-02-12 15:48:00,sms,RPC
5319,1993,2026-03-07 19:24:00,sms,Promise
4408,1664,2026-01-08 16:22:00,call,RPC
963,373,2026-02-25 12:21:00,email,No answer
6602,2464,2026-02-21 14:06:00,email,RPC
4846,1824,2026-02-16 15:18:00,sms,Promise
2967,1115,2026-03-28 16:19:00,call,RPC
3127,1177,2026-02-09 14:22:00,call,Promise
407,156,2026-03-08 11:00:00,email,Promise
6200,2321,2026-04-06 13:35:00,call,No answer
2406,913,2026-01-22 11:57:00,call,No answer
584,225,2026-01-19 17:01:00,call,No answer
381,151,2026-02-06 19:34:00,email,Promise
1509,579,2026-02-28 17:00:00,email,RPC
5762,2151,2026-01-13 08:24:00,sms,No answer
2758,1043,2026-04-05 11:12:00,call,Promise
6900,2580,2026-02-05 08:41:00,sms,No answer
4060,1535,2026-02-26 08:18:00,sms,Wrong number
2665,1010,2026-03-08 14:38:00,sms,No answer
2231,843,2026-02-16 08:44:00,sms,Promise
3816,1449,2026-03-28 12:34:00,sms,No answer
437,168,2026-01-16 12:16:00,email,No answer
2479,938,2026-02-15 17:13:00,sms,RPC
4899,1850,2026-04-15 17:45:00,call,No answer
3240,1222,2026-01-25 16:07:00,call,No answer
3478,1315,2026-03-29 12:01:00,call,RPC
4938,1866,2026-03-20 08:44:00,call,No answer
5596,2093,2026-03-25 12:33:00,email,No answer
1846,699,2026-04-06 14:40:00,call,Wrong number
3840,1456,2026-03-23 08:10:00,sms,No answer
4372,1650,2026-04-09 18:00:00,sms,RPC
6159,2310,2026-04-02 14:20:00,call,No answer
5078,1909,2026-03-20 10:12:00,call,No answer
5823,2173,2026-01-20 18:19:00,sms,No answer
2372,902,2026-01-12 20:00:00,call,No answer
3980,1504,2026-03-14 09:51:00,call,Promise
3665,1392,2026-01-07 09:08:00,call,RPC
2670,1012,2026-04-02 20:40:00,sms,No answer
1417,549,2026-01-14 10:21:00,sms,No answer
6670,2486,2026-03-07 20:17:00,sms,No answer
411,157,2026-03-11 10:34:00,call,Promise
5867,2188,2026-03-30 12:23:00,call,Wrong number
4152,1569,2026-02-13 14:30:00,sms,No answer
4270,1612,2026-01-30 08:34:00,call,No answer
6653,2481,2026-03-06 19:08:00,call,RPC
6526,2437,2026-02-12 12:47:00,sms,RPC
523,196,2026-02-09 12:18:00,call,Wrong number
6258,2339,2026-03-14 14:44:00,email,Promise
1354,530,2026-03-29 11:47:00,call,No answer
2001,759,2026-03-16 12:41:00,call,Promise
689,266,2026-01-28 11:24:00,sms,RPC
4043,1531,2026-03-15 21:11:00,call,No answer
2273,863,2026-01-30 20:40:00,call,No answer
1652,630,2026-02-11 20:04:00,call,Promise
5071,1907,2026-02-21 11:43:00,call,Promise
1331,517,2026-02-06 17:32:00,sms,RPC
3988,1506,2026-03-07 10:38:00,call,Promise
1111,427,2026-03-08 19:08:00,call,No answer
4945,1868,2026-02-13 13:15:00,sms,RPC
4187,1578,2026-01-18 17:28:00,call,No answer
4002,1514,2026-03-29 10:10:00,call,No answer
6787,2528,2026-01-09 13:43:00,sms,No answer
2093,790,2026-02-18 09:41:00,call,Promise
5195,1945,2026-01-20 19:38:00,call,Promise
2019,766,2026-04-02 17:53:00,call,Promise
4068,1539,2026-03-02 18:40:00,sms,RPC
5159,1936,2026-01-21 19:16:00,call,Wrong number
6470,2420,2026-01-30 14:35:00,sms,Wrong number
4059,1534,2026-01-25 18:33:00,sms,Promise
3503,1328,2026-02-06 18:30:00,call,Promise
3335,1263,2026-03-23 12:37:00,sms,No answer
1826,695,2026-02-28 15:08:00,call,No answer
5873,2191,2026-02-26 14:21:00,email,No answer
4790,1805,2026-03-01 20:21:00,sms,No answer
3709,1407,2026-03-15 20:05:00,sms,Promise
285,107,2026-02-10 18:57:00,sms,RPC
1158,447,2026-02-20 13:10:00,sms,Promise
3406,1294,2026-04-11 16:04:00,email,RPC
4029,1526,2026-01-29 11:52:00,sms,RPC
3841,1457,2026-02-02 19:31:00,call,No answer
1975,748,2026-03-11 13:20:00,call,RPC
3368,1280,2026-02-16 10:58:00,call,No answer
550,206,2026-02-20 09:56:00,call,No answer
4669,1759,2026-02-03 14:38:00,call,No answer
976,381,2026-03-09 15:03:00,call,No answer
3431,1303,2026-03-11 14:02:00,call,Promise
3558,1349,2026-03-07 18:53:00,email,No answer
5650,2110,2026-04-04 08:08:00,sms,RPC
1925,728,2026-04-01 15:18:00,call,No answer
245,94,2026-02-19 10:26:00,call,No answer
4512,1706,2026-03-04 18:31:00,call,RPC
6449,2413,2026-03-12 20:11:00,sms,No answer
2325,884,2026-04-03 14:39:00,sms,No answer
1074,413,2026-01-23 15:13:00,call,Promise
3715,1410,2026-03-30 18:42:00,call,No answer
2435,921,2026-04-10 18:28:00,call,No answer
4632,1747,2026-03-14 12:10:00,call,Wrong number
1611,621,2026-03-21 16:48:00,call,No answer
590,226,2026-02-17 11:24:00,sms,No answer
946,367,2026-04-09 15:59:00,sms,No answer
2686,1017,2026-03-07 11:03:00,sms,No answer
4432,1677,2026-03-21 20:51:00,call,RPC
549,206,2026-02-20 08:37:00,sms,RPC
6694,2491,2026-03-31 20:13:00,call,No answer
3168,1194,2026-02-13 10:26:00,call,RPC
145,53,2026-02-19 17:52:00,sms,RPC
3148,1188,2026-02-10 09:37:00,email,Promise
1675,636,2026-04-09 16:09:00,call,RPC
3798,1443,2026-04-02 11:58:00,email,No answer
1025,398,2026-02-27 19:09:00,call,Promise
1503,578,2026-02-17 19:18:00,sms,RPC
4773,1794,2026-02-04 19:31:00,sms,RPC
2747,1039,2026-04-03 16:31:00,call,RPC
5506,2057,2026-01-25 16:01:00,sms,RPC
987,384,2026-01-29 09:22:00,call,RPC
4171,1573,2026-01-21 11:51:00,call,No answer
4025,1523,2026-03-09 15:33:00,call,No answer
301,120,2026-01-04 09:13:00,email,No answer
3399,1291,2026-01-10 17:06:00,call,No answer
354,140,2026-03-04 10:51:00,sms,No answer
4056,1533,2026-01-22 09:20:00,sms,RPC
2315,881,2026-03-31 19:10:00,call,No answer
5833,2176,2026-04-05 16:45:00,sms,RPC
4461,1688,2026-04-11 10:35:00,call,RPC
4391,1657,2026-02-23 08:25:00,call,No answer
1045,402,2026-02-15 19:56:00,call,No answer
779,301,2026-02-27 08:25:00,call,Promise
4454,1687,2026-01-29 09:07:00,call,Wrong number
6768,2519,2026-02-01 18:14:00,sms,RPC
3122,1175,2026-03-14 16:44:00,call,No answer
3508,1330,2026-03-24 20:44:00,call,RPC
1909,722,2026-03-20 08:30:00,sms,No answer
4053,1533,2026-01-23 16:31:00,email,No answer
3173,1194,2026-02-17 09:20:00,email,RPC
2285,871,2026-01-31 15:24:00,call,Promise
947,367,2026-04-06 16:45:00,call,No answer
1320,512,2026-02-01 16:31:00,sms,No answer
6407,2399,2026-01-10 15:24:00,email,RPC
6060,2274,2026-03-22 13:31:00,sms,No answer
4422,1672,2026-03-20 20:37:00,call,No answer
3371,1281,2026-03-07 13:58:00,call,RPC
6585,2456,2026-02-23 18:47:00,sms,Promise
6228,2326,2026-01-26 17:37:00,sms,RPC
3537,1340,2026-02-23 09:11:00,call,RPC
155,57,2026-01-02 09:21:00,call,RPC
